f,mag
1653.318359375,335.9
1653.8125,410.9
1654.306640625,248.7
1654.80078125,113.68
1655.294921875,432.2
1655.7890625,20.35
1656.283203125,308.78
1656.77734375,385.35
1657.271484375,312.07
1657.765625,481.31
1658.259765625,70.31
1658.75390625,300.55
1659.248046875,399.23
1659.7421875,476.02
1660.236328125,272.77
1660.73046875,158.09
1661.224609375,159.86
1661.71875,308.36
1662.212890625,304.26
1662.70703125,150.24
1663.201171875,172.08
1663.6953125,334.59
1664.189453125,238.03
1664.68359375,181.56
1665.177734375,187.78
1665.671875,379.57
1666.166015625,42.57
1666.66015625,212.87
1667.154296875,217.61
1667.6484375,163.47
1668.142578125,229.76
1668.63671875,40.03
1669.130859375,426.61
1669.625,262.21
1670.119140625,509.69
1670.61328125,390.15
1671.107421875,162.37
1671.6015625,196.54
1672.095703125,277.44
1672.58984375,313.16
1673.083984375,92.22
1673.578125,322.46
1674.072265625,255.39
1674.56640625,108.74
1675.060546875,130.58
1675.5546875,458.41
1676.048828125,276.68
1676.54296875,117.65
1677.037109375,219.99
1677.53125,448.48
1678.025390625,653.15
1678.51953125,359.92
1679.013671875,163.0
1679.5078125,181.67
1680.001953125,39.87
1680.49609375,200.37
1680.990234375,129.24
1681.484375,310.43
1681.978515625,133.24
1682.47265625,440.6
1682.966796875,331.56
1683.4609375,413.84
1683.955078125,128.46
1684.44921875,126.34
1684.943359375,290.87
1685.4375,323.12
1685.931640625,293.66
1686.42578125,613.59
1686.919921875,35.35
1687.4140625,180.49
1687.908203125,19.31
1688.40234375,32.74
1688.896484375,148.9
1689.390625,216.19
1689.884765625,261.17
1690.37890625,315.09
1690.873046875,308.41
1691.3671875,274.44
1691.861328125,553.49
1692.35546875,198.42
1692.849609375,146.01
1693.34375,326.31
1693.837890625,621.68
1694.33203125,146.05
1694.826171875,373.82
1695.3203125,366.01
1695.814453125,206.67
1696.30859375,341.45
1696.802734375,332.44
1697.296875,122.75
1697.791015625,260.11
1698.28515625,240.62
1698.779296875,115.52
1699.2734375,209.72
1699.767578125,268.07
1700.26171875,192.25
1700.755859375,305.32
1701.25,299.38
1701.744140625,215.09
1702.23828125,411.12
1702.732421875,371.51
1703.2265625,222.48
1703.720703125,249.07
1704.21484375,305.83
1704.708984375,249.18
1705.203125,370.36
1705.697265625,128.88
1706.19140625,203.27
1706.685546875,277.01
1707.1796875,124.14
1707.673828125,188.42
1708.16796875,331.75
1708.662109375,173.3
1709.15625,246.99
1709.650390625,302.17
1710.14453125,38.34
1710.638671875,128.57
1711.1328125,95.11
1711.626953125,349.08
1712.12109375,50.35
1712.615234375,396.27
1713.109375,171.55
1713.603515625,438.18
1714.09765625,254.07
1714.591796875,121.87
1715.0859375,270.81
1715.580078125,412.8
1716.07421875,333.32
1716.568359375,383.88
1717.0625,277.98
1717.556640625,287.87
1718.05078125,236.02
1718.544921875,203.37
1719.0390625,184.16
1719.533203125,161.14
1720.02734375,89.06
1720.521484375,83.75
1721.015625,300.75
1721.509765625,147.64
1722.00390625,198.74
1722.498046875,56.0
1722.9921875,133.87
1723.486328125,199.67
1723.98046875,185.23
1724.474609375,256.3
1724.96875,24.73
1725.462890625,173.29
1725.95703125,166.85
1726.451171875,364.81
1726.9453125,131.48
1727.439453125,364.79
1727.93359375,168.19
1728.427734375,62.1
1728.921875,258.72
1729.416015625,101.45
1729.91015625,170.39
1730.404296875,459.26
