f,mag
1732.380859375,90.7
1732.875,19.54
1733.369140625,124.56
1733.86328125,132.41
1734.357421875,45.43
1734.8515625,61.19
1735.345703125,139.74
1735.83984375,58.83
1736.333984375,23.83
1736.828125,51.8
1737.322265625,29.66
1737.81640625,50.71
1738.310546875,57.16
1738.8046875,111.6
1739.298828125,71.55
1739.79296875,57.88
1740.287109375,98.7
1740.78125,138.18
1741.275390625,54.02
1741.76953125,8.09
1742.263671875,129.54
1742.7578125,126.61
1743.251953125,53.28
1743.74609375,61.79
1744.240234375,113.77
1744.734375,58.75
1745.228515625,89.53
1745.72265625,39.65
1746.216796875,49.65
1746.7109375,98.05
1747.205078125,139.33
1747.69921875,94.34
1748.193359375,90.29
1748.6875,50.25
1749.181640625,78.73
1749.67578125,98.67
1750.169921875,49.31
1750.6640625,57.77
1751.158203125,75.73
1751.65234375,78.16
1752.146484375,168.88
1752.640625,61.39
1753.134765625,46.08
1753.62890625,71.59
1754.123046875,124.44
1754.6171875,65.23
1755.111328125,72.17
1755.60546875,19.39
1756.099609375,147.48
1756.59375,51.23
1757.087890625,110.99
1757.58203125,122.02
1758.076171875,45.7
1758.5703125,24.85
1759.064453125,144.57
1759.55859375,145.37
1760.052734375,45.89
1760.546875,72.13
1761.041015625,140.69
1761.53515625,172.55
1762.029296875,35.5
1762.5234375,42.41
1763.017578125,60.26
1763.51171875,69.98
1764.005859375,42.57
1764.5,127.99
1764.994140625,64.76
1765.48828125,116.26
1765.982421875,78.42
1766.4765625,50.87
1766.970703125,48.93
1767.46484375,23.39
1767.958984375,161.08
1768.453125,120.19
1768.947265625,45.94
1769.44140625,69.22
1769.935546875,32.14
1770.4296875,163.81
1770.923828125,72.35
1771.41796875,52.09
